"","BR-A-Control_counts.txt","BR-A-Mutant_counts.txt","BR-B-Control_counts.txt","BR-B-Mutant_counts.txt","BR-C-Control_counts.txt","BR-C-Mutant_counts.txt"
"ENSMUSG00000000001",1472,1544,1363,1637,1540,1423
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",6,8,8,4,7,7
"ENSMUSG00000000031",109,38,127,40,123,34
"ENSMUSG00000000037",43,36,14,28,22,30
"ENSMUSG00000000049",0,0,0,0,0,0
"ENSMUSG00000000056",1142,1378,1045,1509,1278,1176
"ENSMUSG00000000058",9,12,6,12,19,7
"ENSMUSG00000000078",1343,1374,1410,1310,1612,1107
"ENSMUSG00000000085",1455,1502,1472,1539,1368,1427
"ENSMUSG00000000088",196,168,152,204,137,169
"ENSMUSG00000000093",3,4,1,2,3,1
"ENSMUSG00000000094",0,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",1138,942,1363,1139,1415,1057
"ENSMUSG00000000125",16,19,32,22,16,21
"ENSMUSG00000000126",1,3,1,1,3,0
"ENSMUSG00000000127",507,564,528,587,495,528
"ENSMUSG00000000131",1458,1596,1417,1596,1435,1439
"ENSMUSG00000000134",212,223,214,232,229,216
"ENSMUSG00000000142",146,163,109,120,129,148
"ENSMUSG00000000148",85,105,94,119,101,111
"ENSMUSG00000000149",342,344,427,450,347,300
"ENSMUSG00000000154",1,3,3,0,1,1
"ENSMUSG00000000157",0,0,1,0,0,0
"ENSMUSG00000000159",1,0,1,1,0,0
"ENSMUSG00000000167",23,18,21,20,14,23
"ENSMUSG00000000168",769,867,859,843,764,770
"ENSMUSG00000000171",528,570,514,575,485,547
"ENSMUSG00000000182",0,9,10,5,9,13
"ENSMUSG00000000183",0,0,0,0,0,0
"ENSMUSG00000000184",44,47,40,40,45,46
"ENSMUSG00000000194",595,681,578,680,602,639
"ENSMUSG00000000197",227,214,233,189,171,183
"ENSMUSG00000000202",8,6,13,8,11,7
"ENSMUSG00000000204",0,0,0,0,0,0
"ENSMUSG00000000214",4,18,7,32,8,11
"ENSMUSG00000000215",0,0,0,0,0,0
"ENSMUSG00000000216",0,0,1,0,0,0
"ENSMUSG00000000223",1103,1404,1187,1327,1147,1226
"ENSMUSG00000000244",0,0,0,0,4,0
"ENSMUSG00000000247",1,11,5,2,3,3
"ENSMUSG00000000248",0,0,0,0,0,0
"ENSMUSG00000000253",27,22,22,46,22,27
"ENSMUSG00000000263",182,155,156,176,171,154
"ENSMUSG00000000266",276,275,282,241,221,242
"ENSMUSG00000000275",42,79,86,63,87,69
"ENSMUSG00000000276",950,955,895,922,821,958
"ENSMUSG00000000278",43,38,47,31,46,37
"ENSMUSG00000000282",390,430,457,485,430,419
"ENSMUSG00000000290",0,0,0,0,0,0
"ENSMUSG00000000295",66,73,70,91,57,86
"ENSMUSG00000000296",29,20,7,13,14,17
"ENSMUSG00000000301",4,3,10,11,7,11
"ENSMUSG00000000303",0,0,0,0,0,0
"ENSMUSG00000000305",514,543,487,595,451,547
"ENSMUSG00000000308",142,219,136,183,145,179
"ENSMUSG00000000317",15,16,9,10,14,18
"ENSMUSG00000000318",0,0,0,0,0,0
"ENSMUSG00000000320",2,4,0,4,4,8
"ENSMUSG00000000325",641,789,629,794,677,717
"ENSMUSG00000000326",162,195,169,182,178,199
"ENSMUSG00000000339",237,252,207,276,249,237
"ENSMUSG00000000340",234,203,237,209,210,221
"ENSMUSG00000000346",552,509,474,570,541,480
"ENSMUSG00000000355",312,296,254,300,245,296
"ENSMUSG00000000359",1,0,0,0,0,0
"ENSMUSG00000000365",23,19,19,7,19,11
"ENSMUSG00000000374",491,568,546,588,481,535
"ENSMUSG00000000378",202,192,209,244,197,197
"ENSMUSG00000000381",3,3,1,0,1,3
"ENSMUSG00000000384",263,280,218,344,279,238
"ENSMUSG00000000385",0,0,0,0,0,0
"ENSMUSG00000000386",0,0,0,0,0,0
"ENSMUSG00000000392",0,0,0,0,0,0
"ENSMUSG00000000394",0,2,0,1,1,2
"ENSMUSG00000000399",376,446,384,458,376,400
"ENSMUSG00000000402",40,72,51,57,48,33
"ENSMUSG00000000409",25,20,16,27,22,29
"ENSMUSG00000000411",3,1,5,1,3,5
"ENSMUSG00000000416",865,962,930,895,841,862
"ENSMUSG00000000420",421,527,452,486,402,408
"ENSMUSG00000000435",0,0,1,0,0,1
"ENSMUSG00000000439",112,117,145,153,111,112
"ENSMUSG00000000440",0,3,2,1,0,2
"ENSMUSG00000000441",1308,1502,1314,1524,1383,1502
"ENSMUSG00000000486",7,1,5,7,9,2
"ENSMUSG00000000489",5,2,6,0,2,4
"ENSMUSG00000000530",2,0,2,1,0,2
"ENSMUSG00000000531",14,6,14,22,12,10
"ENSMUSG00000000532",620,686,768,689,653,660
"ENSMUSG00000000538",1115,1081,930,1110,984,981
"ENSMUSG00000000544",0,0,1,0,0,1
"ENSMUSG00000000552",205,214,179,246,170,214
"ENSMUSG00000000555",12,10,3,4,3,2
"ENSMUSG00000000560",148,129,146,118,130,149
"ENSMUSG00000000561",491,496,450,514,458,471
"ENSMUSG00000000562",0,0,0,0,0,0
"ENSMUSG00000000563",328,342,297,367,351,372
"ENSMUSG00000000567",185,160,125,125,182,133
"ENSMUSG00000000568",2212,2296,2201,2170,2380,2180
"ENSMUSG00000000579",0,0,0,0,0,0
"ENSMUSG00000000581",378,482,314,389,392,348
"ENSMUSG00000000594",79,75,80,84,66,64
"ENSMUSG00000000600",838,838,758,765,752,793
"ENSMUSG00000000605",1140,1350,1257,1375,1173,1200
"ENSMUSG00000000606",0,0,0,0,0,1
"ENSMUSG00000000617",2,0,3,0,0,0
"ENSMUSG00000000627",590,670,562,618,592,549
"ENSMUSG00000000628",10,10,11,7,11,15
